Grant Agreement ID;Project Link;EU contribution (€);Includes PO?;PO budget (€);PO budget %;PO link;PO link 2;PO link 3;Topic ;;;;;;;;;;;;;;;;;;;
634137;https://cordis.europa.eu/project/rcn/193272/factsheet/en;5999997.00;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
779218;https://cordis.europa.eu/project/rcn/211474/factsheet/en;1969553.75;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
733297;https://cordis.europa.eu/project/rcn/207227/factsheet/en;5903146.00;0;-;-;-;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
731377;https://cordis.europa.eu/project/rcn/207193/factsheet/en;2349521.25;0;-;-;-;;;SC1-PM-11-2016-2017 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
667510;https://cordis.europa.eu/project/rcn/199734/factsheet/en;5797799.00;0;-;-;-;;;PHC-11-2015 - Development of new diagnostic tools and technologies: in vivo medical imaging technologies;;;;;;;;;;;;;;;;;;;
666908;https://cordis.europa.eu/project/rcn/199718/factsheet/en;6926313.00;1;25000.00;0.36;https://ipopi.org/about-ipopi/mission-and-objectives/;;;PHC-14-2015 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
667751;https://cordis.europa.eu/project/rcn/199738/factsheet/en;5998937.50;0;-;-;-;;;PHC-14-2015 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
634789;https://cordis.europa.eu/project/rcn/193306/factsheet/en;5999997.75;1;417040.00;6.95;https://www.elnfoundation.org/content/about_us/words_of_the_chairman/index_eng.html;(confirmar);;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
874839;https://cordis.europa.eu/project/rcn/226704/factsheet/en;7999998.75;1;204375.00;2.55;https://www.idf.org/who-we-are/about-idf/mission-strategy.html;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
643638;https://cordis.europa.eu/project/rcn/194086/factsheet/en;6672187.00;0;-;-;https://en.wikipedia.org/wiki/Dutch_Cancer_Society;(considerar?);;HCO-08-2014 - ERA-NET: Aligning national/regional translational cancer research programmes and activities;;;;;;;;;;;;;;;;;;;
784514;https://cordis.europa.eu/project/rcn/213223/factsheet/en;3572567.50;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
643417;https://cordis.europa.eu/project/rcn/194063/factsheet/en;9999999.98;0;-;-;-;;;HCO-07-2014 - ERA-NET: Establishing synergies between the Joint Programming on Neurodegenerative Diseases Research and Horizon 2020;;;;;;;;;;;;;;;;;;;
756195;https://cordis.europa.eu/project/rcn/208124/factsheet/en;2362681.25;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
668769;https://cordis.europa.eu/project/rcn/199760/factsheet/en;5782965.00;1;23000.00;0.40;https://ecpc.org/;;;PHC-14-2015 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
667713;https://cordis.europa.eu/project/rcn/200169/factsheet/en;6001482.00;0;-;-;-;;;PHC-14-2015 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
634013;https://cordis.europa.eu/project/rcn/193268/factsheet/en;3593962.00;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
731827;https://cordis.europa.eu/project/rcn/207203/factsheet/en;6195231.25;0;-;-;-;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
847465;https://cordis.europa.eu/project/rcn/226736/factsheet/en;9969012.25;0;-;-;-;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
874671;https://cordis.europa.eu/project/rcn/226318/factsheet/en;7452770.00;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
875052;https://cordis.europa.eu/project/rcn/225631/factsheet/en;5962792.50;1;256328.75;4.30;https://www.aimac.it/chi-siamo/associazione;;;SC1-DTH-01-2019 - Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment;;;;;;;;;;;;;;;;;;;
779293;https://cordis.europa.eu/project/rcn/213042/factsheet/en;7437127.50;1;100025.00;1.34;https://www.iofbonehealth.org/about-us;;;SC1-PM-11-2016-2017 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
733248;https://cordis.europa.eu/project/rcn/205785/factsheet/en;3845140.00;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
643578;https://cordis.europa.eu/project/rcn/194080/factsheet/en;5884310.00;0;-;-;-;;;HCO-10-2014 - ERA NET rare disease research implementing IRDiRC objectives;;;;;;;;;;;;;;;;;;;
643809;https://cordis.europa.eu/project/rcn/194107/factsheet/en;5999000.00;0;-;-;-;;;PHC-15-2014 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
634893;https://cordis.europa.eu/project/rcn/193313/factsheet/en;5834340.00;0;-;-;-;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
634270;https://cordis.europa.eu/project/rcn/193280/factsheet/en;4547560.00;0;-;-;https://www.sielbleu.org/je-decouvre;;;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
633780;https://cordis.europa.eu/project/rcn/193255/factsheet/en;4721198.50;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
733288;https://cordis.europa.eu/project/rcn/207447/factsheet/en;5999150.87;0;-;-;-;;;SC1-PM-11-2016-2017 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
668039;https://cordis.europa.eu/project/rcn/199748/factsheet/en;5812631.25;0;-;-;-;;;PHC-11-2015 - Development of new diagnostic tools and technologies: in vivo medical imaging technologies;;;;;;;;;;;;;;;;;;;
668023;https://cordis.europa.eu/project/rcn/199745/factsheet/en;5996000.00;1;33750.00;0.56;https://www.dccv.de/die-dccv/wir-ueber-uns/;;;PHC-18-2015 - Establishing effectiveness of health care interventions in the paediatric population;;;;;;;;;;;;;;;;;;;
681120;https://cordis.europa.eu/project/rcn/198797/factsheet/en;2981001.00;0;-;-;-;;;HCO-06-2015 - Global Alliance for Chronic Diseases. Prevention and treatment of lung diseases;;;;;;;;;;;;;;;;;;;
681055;https://cordis.europa.eu/project/rcn/198793/factsheet/en;7858116.00;0;-;-;-;;;HCO-12-2015 - ERA NET: Antimicrobial resistance;;;;;;;;;;;;;;;;;;;
635122;https://cordis.europa.eu/project/rcn/193319/factsheet/en;5750000.00;0;-;-;-;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
874790;https://cordis.europa.eu/project/rcn/226155/factsheet/en;6256758.75;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
779237;https://cordis.europa.eu/project/rcn/216103/factsheet/en;2824037.50;3;230587.50;8.17;http://www.alzheimer.it/feder.html;http://www.alzheimer-hellas.gr/index.php/en/home/aboutus;https://alzheimerathens.gr/etaireia/pioi-eimaste/;SC1-HCO-07-2017 - Global Alliance for Chronic Diseases (GACD) prevention and management of mental disorders;;;;;;;;;;;;;;;;;;;
733057;https://cordis.europa.eu/project/rcn/207215/factsheet/en;6478737.50;0;-;-;-;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
643708;https://cordis.europa.eu/project/rcn/194094/factsheet/en;2997405.00;1;178750.00;5.96;https://www.idf.org/who-we-are.html;;;HCO-05-2014 - Global Alliance for Chronic Diseases: prevention and treatment of type 2 diabetes;;;;;;;;;;;;;;;;;;;
634446;https://cordis.europa.eu/project/rcn/193288/factsheet/en;7482728.75;0;-;-;-;;;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
874586;https://cordis.europa.eu/project/rcn/226151/factsheet/en;6301156.25;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
874896;https://cordis.europa.eu/project/rcn/226156/factsheet/en;6379337.50;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
768090;https://cordis.europa.eu/project/rcn/212864/factsheet/en;2969000.00;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
731626;https://cordis.europa.eu/project/rcn/207437/factsheet/en;6685111.00;1;150000.00;2.24;http://www.eatg.org/about-us/;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
874708;https://cordis.europa.eu/project/rcn/226152/factsheet/en;8064946.00;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
874700;https://cordis.europa.eu/project/rcn/226546/factsheet/en;6844625.00;0;-;-;-;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
824982;https://cordis.europa.eu/project/rcn/220946/factsheet/en;3999872.50;2;172500.00;4.31;https://www.kinderkrebshilfe.at/en/about-us;https://www.pancare.org.au/about/;;SC1-BHC-23-2018 - Novel patient-centred approaches for survivorship. palliation and/or end-of-life care;;;;;;;;;;;;;;;;;;;
825747;https://cordis.europa.eu/project/rcn/219922/factsheet/en;3301990.00;0;-;-;-;;;SC1-BHC-18-2018 - Translational collaborative cancer research between Europe and the Community of Latin American and Caribbean States (CELAC);;;;;;;;;;;;;;;;;;;
825700;https://cordis.europa.eu/project/rcn/220269/factsheet/en;4033520.25;1;16312.00;0.40;https://ecpc.org/;;;SC1-BHC-23-2018 - Novel patient-centred approaches for survivorship. palliation and/or end-of-life care;;;;;;;;;;;;;;;;;;;
874721;https://cordis.europa.eu/project/rcn/226541/factsheet/en;8999620.00;1;175500.00;1.95;https://www.efcni.org/mission-and-vision/;;;SC1-BHC-07-2019 - Regenerative medicine: from new insights to new applications;;;;;;;;;;;;;;;;;;;
847422;https://cordis.europa.eu/project/rcn/226650/factsheet/en;10081333.75;0;-;-;-;;;SC1-BHC-14-2019 - Stratified host-directed approaches to improve prevention. treatment and/or cure of infectious diseases;;;;;;;;;;;;;;;;;;;
825785;https://cordis.europa.eu/project/rcn/219678/factsheet/en;3995437.50;0;-;-;-;;;SC1-BHC-23-2018 - Novel patient-centred approaches for survivorship. palliation and/or end-of-life care;;;;;;;;;;;;;;;;;;;
779322;https://cordis.europa.eu/project/rcn/213538/factsheet/en;5949665.00;0;-;-;-;;;SC1-PM-11-2016-2017 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
779317;https://cordis.europa.eu/project/rcn/213048/factsheet/en;5792425.00;0;-;-;-;;;SC1-PM-11-2016-2017 - Clinical research on regenerative medicine;;;;;;;;;;;;;;;;;;;
755170;https://cordis.europa.eu/project/rcn/212687/factsheet/en;5990460.00;1;82500.00;1.38;https://ipopi.org/about-ipopi/mission-and-objectives/;;;SC1-PM-08-2017 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
754825;https://cordis.europa.eu/project/rcn/212675/factsheet/en;5697390.50;0;-;-;-;;;SC1-PM-08-2017 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
634439;https://cordis.europa.eu/project/rcn/193287/factsheet/en;5593048.50;0;-;-;-;;;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
755225;https://cordis.europa.eu/project/rcn/212689/factsheet/en;6249103.75;1;92000.00;1.47;http://www.crigler-najjar.fr/l-association?lang=fr;;;SC1-PM-08-2017 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
633413;https://cordis.europa.eu/project/rcn/193232/factsheet/en;5980435.00;1;0.00;0;https://www.mndassociation.org/about-us/;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
633168;https://cordis.europa.eu/project/rcn/193180/factsheet/en;5975589.00;1;114311.00;1.91;https://www.crohnscolitisfoundation.org/about/mission;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
733008;https://cordis.europa.eu/project/rcn/207443/factsheet/en;5994176.25;1;95062.50;1.59;https://ecpc.org/;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
666918;https://cordis.europa.eu/project/rcn/199719/factsheet/en;5995768.75;1;62337.50;1.04;http://www.bdfa-uk.org.uk/;;;PHC-14-2015 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
768260;https://cordis.europa.eu/project/rcn/211451/factsheet/en;2988500.00;0;-;-;-;;;SMEInst-05-2016-2017 - Supporting innovative SMEs in the healthcare biotechnology sector;;;;;;;;;;;;;;;;;;;
875171;https://cordis.europa.eu/project/rcn/225625/factsheet/en;5196772.50;1;272625.00;5.25;https://ecpc.org/;;;SC1-DTH-01-2019 - Big data and Artificial Intelligence for monitoring health status and quality of life after the cancer treatment;;;;;;;;;;;;;;;;;;;
755094;https://cordis.europa.eu/project/rcn/212685/factsheet/en;5596928.00;1;51187.50;0.91;https://www.mndassociation.org/about-us/;;;SC1-PM-08-2017 - New therapies for rare diseases;;;;;;;;;;;;;;;;;;;
733079;https://cordis.europa.eu/project/rcn/207216/factsheet/en;5819416.00;0;-;-;-;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
668119;https://cordis.europa.eu/project/rcn/199749/factsheet/en;6597377.50;0;-;-;-;;;PHC-11-2015 - Development of new diagnostic tools and technologies: in vivo medical imaging technologies;;;;;;;;;;;;;;;;;;;
667933;https://cordis.europa.eu/project/rcn/199742/factsheet/en;5983807.50;0;-;-;-;;;PHC-11-2015 - Development of new diagnostic tools and technologies: in vivo medical imaging technologies;;;;;;;;;;;;;;;;;;;
633515;https://cordis.europa.eu/project/rcn/193240/factsheet/en;5999381.00;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
635342;https://cordis.europa.eu/project/rcn/193328/factsheet/en;5996992.00;0;-;-;-;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
634890;https://cordis.europa.eu/project/rcn/193312/factsheet/en;6034026.09;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
633635;https://cordis.europa.eu/project/rcn/193248/factsheet/en;4654333.00;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
633937;https://cordis.europa.eu/project/rcn/193261/factsheet/en;6026455.00;0;-;-;-;;;PHC-10-2014 - Development of new diagnostic tools and technologies: in vitro devices. assays and platforms;;;;;;;;;;;;;;;;;;;
634809;https://cordis.europa.eu/project/rcn/193307/factsheet/en;5994000.00;1;45025.00;0.75;https://www.safestroke.eu/;;;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
634086;https://cordis.europa.eu/project/rcn/193269/factsheet/en;5994373.75;0;-;-;-;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
634238;https://cordis.europa.eu/project/rcn/193279/factsheet/en;3735608.25;0;-;-;-;;;PHC-17-2014 - Comparing the effectiveness of existing healthcare interventions in the elderly;;;;;;;;;;;;;;;;;;;
633545;https://cordis.europa.eu/project/rcn/193242/factsheet/en;5997139.00;0;-;-;-;;;PHC-13-2014 - New therapies for chronic non-communicable diseases;;;;;;;;;;;;;;;;;;;
731623;https://cordis.europa.eu/project/rcn/212591/factsheet/en;5999999.50;1;30250.00;0.50;https://ecpc.org/;;;SC1-PM-09-2016 - New therapies for chronic diseases;;;;;;;;;;;;;;;;;;;
754946;https://cordis.europa.eu/project/rcn/212681/factsheet/en;6499572.38;0;-;-;-;;;SC1-PM-10-2017 - Comparing the effectiveness of existing healthcare interventions in the adult population;;;;;;;;;;;;;;;;;;;
